GCD Test
Bias: 5000.000000
IV_W30_1030_Chip20
Date/Time: 4/4/2019 2:26:13 PM
Sensor Name: W30_1030_Chip20
Type: P
Annealing Status: Irradiated
Environment: -20C
Tester: Vuong

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
 -550.0000	-6.8065E-6	-6.8230E-6	-6.8020E-6	-6.7930E-6	-6.8080E-6	-5.494777E-6	-5.494465E-6	-5.493867E-6	-5.492941E-6	-5.497835E-6	  -20.0059	    9.2390	    0.1954	  -58.1717	
 -560.0000	-6.8987E-6	-6.8990E-6	-6.9070E-6	-6.9040E-6	-6.8850E-6	-5.576025E-6	-5.553599E-6	-5.588637E-6	-5.582629E-6	-5.579235E-6	  -20.0160	    9.3098	    0.1977	  -58.0454	
 -570.0000	-6.9737E-6	-6.9750E-6	-6.9660E-6	-6.9750E-6	-6.9790E-6	-5.646466E-6	-5.634743E-6	-5.656819E-6	-5.656276E-6	-5.638026E-6	  -20.0186	    9.2528	    0.1977	  -58.0757	
 -580.0000	-7.0600E-6	-7.0560E-6	-7.0670E-6	-7.0730E-6	-7.0440E-6	-5.677574E-6	-5.667720E-6	-5.689526E-6	-5.679145E-6	-5.673904E-6	  -20.0084	    9.2432	    0.1926	  -58.2849	
 -590.0000	-7.1447E-6	-7.1400E-6	-7.1520E-6	-7.1430E-6	-7.1440E-6	-5.760045E-6	-5.794040E-6	-5.744072E-6	-5.747596E-6	-5.754473E-6	  -20.0109	    9.2290	    0.2015	  -57.9384	
 -600.0000	-7.2090E-6	-7.2150E-6	-7.2080E-6	-7.2090E-6	-7.2040E-6	-5.811874E-6	-5.798935E-6	-5.814186E-6	-5.801415E-6	-5.832958E-6	  -20.0008	    9.2178	    0.2037	  -57.8581	
 -610.0000	-7.2808E-6	-7.2760E-6	-7.2770E-6	-7.2810E-6	-7.2890E-6	-5.891468E-6	-5.900509E-6	-5.899060E-6	-5.873748E-6	-5.892555E-6	  -19.9982	    9.2403	    0.1967	  -58.1202	
 -620.0000	-7.3462E-6	-7.3570E-6	-7.3510E-6	-7.3380E-6	-7.3390E-6	-5.946211E-6	-5.953599E-6	-5.956805E-6	-5.940019E-6	-5.934420E-6	  -19.9931	    9.2218	    0.1882	  -58.4788	
 -630.0000	-7.4178E-6	-7.4340E-6	-7.4150E-6	-7.4240E-6	-7.3980E-6	-5.986391E-6	-5.984170E-6	-5.990846E-6	-5.988097E-6	-5.982450E-6	  -20.0008	    9.1916	    0.1989	  -58.0579	
 -640.0000	-7.4980E-6	-7.4840E-6	-7.4890E-6	-7.5020E-6	-7.5170E-6	-6.051109E-6	-6.050290E-6	-6.040053E-6	-6.064177E-6	-6.049915E-6	  -19.9880	    9.1786	    0.2015	  -57.9652	
 -650.0000	-7.5575E-6	-7.5410E-6	-7.5510E-6	-7.5750E-6	-7.5630E-6	-6.103922E-6	-6.105950E-6	-6.107770E-6	-6.104149E-6	-6.097821E-6	  -19.9982	    9.1785	    0.1926	  -58.3192	
 -660.0000	-7.6535E-6	-7.6700E-6	-7.6370E-6	-7.6580E-6	-7.6490E-6	-6.157742E-6	-6.145188E-6	-6.156929E-6	-6.154641E-6	-6.174209E-6	  -20.0008	    9.1774	    0.1999	  -58.0280	
 -670.0000	-7.7085E-6	-7.7110E-6	-7.7250E-6	-7.6980E-6	-7.7000E-6	-6.213890E-6	-6.207466E-6	-6.200119E-6	-6.235107E-6	-6.212869E-6	  -20.0084	    9.1594	    0.1841	  -58.6849	
 -680.0000	-7.7910E-6	-7.8050E-6	-7.7860E-6	-7.7840E-6	-7.7890E-6	-6.256668E-6	-6.261163E-6	-6.255591E-6	-6.260610E-6	-6.249306E-6	  -19.9982	    9.1556	    0.1980	  -58.1147	
 -690.0000	-7.8573E-6	-7.8640E-6	-7.8490E-6	-7.8630E-6	-7.8530E-6	-6.309470E-6	-6.306052E-6	-6.301892E-6	-6.312306E-6	-6.317630E-6	  -20.0033	    9.1842	    0.2049	  -57.8270	
 -700.0000	-7.9500E-6	-7.9450E-6	-7.9540E-6	-7.9530E-6	-7.9480E-6	-6.391519E-6	-6.389857E-6	-6.410681E-6	-6.388165E-6	-6.377373E-6	  -19.9931	    9.1531	    0.1980	  -58.1161	
 -710.0000	-8.0192E-6	-8.0300E-6	-8.0270E-6	-8.0120E-6	-8.0080E-6	-6.419403E-6	-6.415426E-6	-6.418169E-6	-6.414565E-6	-6.429453E-6	  -20.0008	    9.1695	    0.1939	  -58.2725	
 -720.0000	-8.0755E-6	-8.0900E-6	-8.0680E-6	-8.0710E-6	-8.0730E-6	-6.484554E-6	-6.466716E-6	-6.478136E-6	-6.486316E-6	-6.507049E-6	  -20.0059	    9.2201	    0.1951	  -58.1945	
 -730.0000	-8.1395E-6	-8.1370E-6	-8.1430E-6	-8.1300E-6	-8.1480E-6	-6.546377E-6	-6.532760E-6	-6.546962E-6	-6.536517E-6	-6.569268E-6	  -20.0033	    9.2191	    0.1904	  -58.3885	
 -740.0000	-8.2213E-6	-8.2170E-6	-8.2320E-6	-8.2090E-6	-8.2270E-6	-6.590821E-6	-6.591830E-6	-6.590920E-6	-6.600528E-6	-6.580005E-6	  -19.9982	    9.2139	    0.1973	  -58.1090	
 -750.0000	-8.2753E-6	-8.2790E-6	-8.2690E-6	-8.2870E-6	-8.2660E-6	-6.637068E-6	-6.644025E-6	-6.645269E-6	-6.638612E-6	-6.620367E-6	  -20.0084	    9.1585	    0.1945	  -58.2527	
 -760.0000	-8.3518E-6	-8.3510E-6	-8.3480E-6	-8.3550E-6	-8.3530E-6	-6.688285E-6	-6.679389E-6	-6.697367E-6	-6.688184E-6	-6.688199E-6	  -19.9957	    9.1816	    0.2027	  -57.9142	
 -770.0000	-8.4298E-6	-8.4280E-6	-8.4480E-6	-8.4230E-6	-8.4200E-6	-6.757529E-6	-6.755267E-6	-6.777964E-6	-6.750658E-6	-6.746228E-6	  -20.0008	    9.1570	    0.1923	  -58.3435	
 -780.0000	-8.5073E-6	-8.5010E-6	-8.5040E-6	-8.5120E-6	-8.5120E-6	-6.806063E-6	-6.790755E-6	-6.816832E-6	-6.783069E-6	-6.833596E-6	  -20.0084	    9.1660	    0.1875	  -58.5347	
 -790.0000	-8.5813E-6	-8.5870E-6	-8.5760E-6	-8.5980E-6	-8.5640E-6	-6.847568E-6	-6.842890E-6	-6.870686E-6	-6.834643E-6	-6.842055E-6	  -20.0033	    9.1763	    0.1898	  -58.4372	
 -800.0000	-8.6410E-6	-8.6530E-6	-8.6420E-6	-8.6440E-6	-8.6250E-6	-6.886810E-6	-6.894714E-6	-6.875862E-6	-6.885836E-6	-6.890829E-6	  -20.0008	    9.1330	    0.2008	  -58.0142	
 -810.0000	-8.7192E-6	-8.7310E-6	-8.6980E-6	-8.7330E-6	-8.7150E-6	-6.948511E-6	-6.948186E-6	-6.957221E-6	-6.938408E-6	-6.950230E-6	  -20.0033	    9.1278	    0.1945	  -58.2690	
 -820.0000	-8.7838E-6	-8.7930E-6	-8.7990E-6	-8.7630E-6	-8.7800E-6	-6.996773E-6	-7.008846E-6	-6.982992E-6	-6.970446E-6	-7.024810E-6	  -20.0059	    9.1100	    0.1951	  -58.2529	
 -830.0000	-8.8385E-6	-8.8350E-6	-8.8310E-6	-8.8230E-6	-8.8650E-6	-7.046185E-6	-7.029032E-6	-7.042187E-6	-7.065023E-6	-7.048496E-6	  -20.0059	    9.1191	    0.1942	  -58.2864	
 -840.0000	-8.9132E-6	-8.9360E-6	-8.9100E-6	-8.9020E-6	-8.9050E-6	-7.102852E-6	-7.145193E-6	-7.108098E-6	-7.082973E-6	-7.075143E-6	  -20.0059	    9.1089	    0.1948	  -58.2662	
 -850.0000	-8.9970E-6	-9.0000E-6	-8.9930E-6	-8.9900E-6	-9.0050E-6	-7.151804E-6	-7.156088E-6	-7.167756E-6	-7.138019E-6	-7.145354E-6	  -19.9931	    9.1361	    0.1882	  -58.5241	
 -860.0000	-9.0773E-6	-9.0910E-6	-9.0850E-6	-9.0670E-6	-9.0660E-6	-7.191604E-6	-7.181377E-6	-7.205198E-6	-7.190965E-6	-7.188875E-6	  -19.9931	    9.1321	    0.1961	  -58.2030	
 -870.0000	-9.1325E-6	-9.1350E-6	-9.1260E-6	-9.1400E-6	-9.1290E-6	-7.243814E-6	-7.235249E-6	-7.248408E-6	-7.244512E-6	-7.247088E-6	  -20.0135	    9.1269	    0.1879	  -58.5422	
